source_run,task_id,pair,order,off_ms,on_ms,delta_ms,matched,recorded_log_bytes
r01-user_task_0,user_task_0,1,on-off,40.331875,44.744541,4.4126660000000015,True,177924
r01-user_task_0,user_task_0,2,off-on,39.772583,81.198667,41.426084,True,177924
r01-user_task_0,user_task_0,3,on-off,45.535541,45.690542,0.1550009999999986,True,177924
r01-user_task_0,user_task_0,4,off-on,43.888916,45.983292,2.094375999999997,True,177924
r01-user_task_0,user_task_0,5,on-off,43.9105,45.5985,1.6880000000000024,True,177924
