run_id,model,benchmark_version,suite,task_ids,task_count,evaluated_tasks,successful_tasks,status,model_requests,proposed_tool_calls,tool_errors,input_tokens,output_tokens,elapsed_seconds,recording_enabled,recording_complete,event_count,tool_output_exposures
20260907T001326Z-live-groq-43affa05,openai/gpt-oss-120b,v1.2.2,workspace,user_task_0,1,1,1,completed,3,2,1,5441,196,2.015,,,,
20260907T002020Z-live-groq-4916a537,openai/gpt-oss-120b,v1.2.2,workspace,user_task_0,1,1,1,completed,3,2,1,5441,196,2.327,,,,
20260907T004112Z-live-groq-ff17faba,openai/gpt-oss-120b,v1.2.2,workspace,user_task_0,1,1,1,completed,3,2,1,5441,196,2.304,True,True,24,3
