zotero_item_id,zotero_key,zotero_item_type,is_likely_paper,zotero_topic_collection,zotero_collection_paths,zotero_tier_collection,title,short_title,authors,first_author,year,date,doi,url,venue,publication_title,proceedings_title,conference_name,repository,archive_id,publisher,library_catalog,has_abstract,abstract_snippet,extra,date_added,date_modified
356,HIGXVPRT,conferencePaper,yes,01 Foundations - LLM Agents and Tool Use,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use / T1,T1,"Securing the Agent: Vendor-Neutral, Multitenant Enterprise Retrieval and Tool Use",Securing the Agent,Francisco Javier Arceo; Varsha Prasad Narsing,Francisco Javier Arceo,2026,"2026-05-26 May 26, 2026",10.1145/3786335.3813145,https://dl.acm.org/doi/10.1145/3786335.3813145,Proceedings of the ACM Conference on AI and Agentic Systems,,Proceedings of the ACM Conference on AI and Agentic Systems,,,,Association for Computing Machinery,ACM Digital Library,yes,"Retrieval-Augmented Generation (RAG) and agentic AI systems are increasingly prevalent in enterprise AI deployments. However, real enterprise environments introduce challenges largely absent from academic treatments and consumer-facing APIs: multiple tenants with heterogeneous data, strict access-control requirements, regulatory compliance, and cost pressures that demand shared infrastructure.A fundamental problem underlies existing RAG architectures in these settings: retrieval systems rank doc",,2026-07-01 09:34:52,2026-07-01 09:34:55
364,V7Z3AJDF,journalArticle,yes,01 Foundations - LLM Agents and Tool Use,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use / T2,T2,The rise and potential of large language model based agents: a survey,The rise and potential of large language model based agents,Zhiheng Xi; Wenxiang Chen; Xin Guo; Wei He; Yiwen Ding; Boyang Hong; Ming Zhang; Junzhe Wang; Senjie Jin; Enyu Zhou; Rui Zheng; Xiaoran Fan; Xiao Wang; Limao Xiong; Yuhao Zhou; Weiran Wang; Changhao Jiang; Yicheng Zou; Xiangyang Liu; Zhangyue Yin; Shihan Dou; Rongxiang Weng; Wenjuan Qin; Yongyan Zheng; Xipeng Qiu; Xuanjing Huang; Qi Zhang; Tao Gui,Zhiheng Xi,2025,2025-01-17 2025-01-17,10.1007/s11432-024-4222-0,https://doi.org/10.1007/s11432-024-4222-0,Science China Information Sciences,Science China Information Sciences,,,,,,Springer Link,yes,"For a long time, researchers have sought artificial intelligence (AI) that matches or exceeds human intelligence. AI agents, which are artificial entities capable of sensing the environment, making decisions, and taking actions, are seen as a means to achieve this goal. Extensive efforts have been made to develop AI agents, with a primary focus on refining algorithms or training strategies to enhance specific skills or particular task performance. The field, however, lacks a sufficiently general",,2026-07-01 09:43:48,2026-07-01 09:44:19
365,CZ6266U5,journalArticle,yes,02 Prompt Injection - Core,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core / T2,T2,Indirect prompt injection in large language models,,Alfredo Milani; Valentina Franzoni; Emanuele Florindi,Alfredo Milani,2026,2026-06-23 2026-06-23,10.1007/s00521-026-12266-x,https://doi.org/10.1007/s00521-026-12266-x,Neural Computing and Applications,Neural Computing and Applications,,,,,,Springer Link,yes,"This paper addresses the emerging threat of indirect prompt injection, a technique in which malicious agents embed prompts into seemingly innocuous text to manipulate the behaviour and output of Generative Large Language Models (LLMs). As LLMs become more popular and commonly used in everyday activities, this type of attack poses serious concerns about their responses. Without knowledge and protection, processes that depend on them may not be reliable. We present and analyse real-world high-risk",,2026-07-01 09:40:48,2026-07-01 11:06:11
367,JIV7S322,preprint,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T3,T3,Universal and Transferable Adversarial Attacks on Aligned Language Models,,Andy Zou; Zifan Wang; Nicholas Carlini; Milad Nasr; J. Zico Kolter; Matt Fredrikson,Andy Zou,2023,2023-12-20 2023-12-20,10.48550/arXiv.2307.15043,http://arxiv.org/abs/2307.15043,arXiv,,,,arXiv,arXiv:2307.15043,,arXiv.org,yes,"Because ""out-of-the-box"" large language models are capable of generating a great deal of objectionable content, recent work has focused on aligning these models in an attempt to prevent undesirable generation. While there has been some success at circumventing these measures -- so-called ""jailbreaks"" against LLMs -- these attacks have required significant human ingenuity and are brittle in practice. In this paper, we propose a simple and effective attack method that causes aligned language model",arXiv:2307.15043 [cs.CL],2026-07-01 09:49:51,2026-07-01 09:50:00
371,U4HNQJW8,conferencePaper,yes,03 Agent Security Benchmarks,MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks / T1,T1,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,Agent Security Bench (ASB),Hanrong Zhang; Jingyuan Huang; Kai Mei; Yifei Yao; Zhenting Wang; Chenlu Zhan; Hongwei Wang; Yongfeng Zhang,Hanrong Zhang,2024,2024-10-04 2024/10/04,,https://openreview.net/forum?id=V4y0CpX4hK,The Thirteenth International Conference on Learning Representations,,,The Thirteenth International Conference on Learning Representations,,,,openreview.net,yes,"Although LLM-based agents, powered by Large Language Models (LLMs), can use external tools and memory mechanisms to solve complex real-world tasks, they may also introduce critical security vulnerabilities. However, the existing literature does not comprehensively evaluate attacks and defenses against LLM-based agents. To address this, we introduce Agent Security Bench (ASB), a comprehensive framework designed to formalize, benchmark, and evaluate the attacks and defenses of LLM-based agents, in",,2026-07-01 09:52:30,2026-07-01 09:52:45
374,A64EF5SD,conferencePaper,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,T1,Formalizing and Benchmarking Prompt Injection Attacks and Defenses,,Yupei Liu; Yuqi Jia; Runpeng Geng; Jinyuan Jia; Neil Zhenqiang Gong,Yupei Liu,2024,"2024-08-12 August 12, 2024",,https://www.usenix.org/conference/usenixsecurity24/presentation/liu-yupei,Proceedings of the 33rd USENIX Conference on Security Symposium,,Proceedings of the 33rd USENIX Conference on Security Symposium,33rd USENIX Security Symposium (USENIX Security 24),,,USENIX Association,www.usenix.org,no,,,2026-07-01 09:56:23,2026-07-01 09:58:09
382,EAWDGDFJ,conferencePaper,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,T1,ACE: A Security Architecture for LLM-Integrated App Systems,ACE,Evan Li; Tushin Mallick; Evan Rose; William Robertson; Alina Oprea; Cristina Nita-Rotaru,Evan Li,2026,2026-00-00 2026,10.14722/ndss.2026.230352,https://www.ndss-symposium.org/wp-content/uploads/2026-s352-paper.pdf,Proceedings 2026 Network and Distributed System Security Symposium,,Proceedings 2026 Network and Distributed System Security Symposium,Network and Distributed System Security Symposium,,,Internet Society,DOI.org (Crossref),yes,"LLM-integrated app systems extend the utility of Large Language Models (LLMs) with third-party apps that are invoked by a system LLM using interleaved planning and execution phases to answer user queries. These systems introduce new attack vectors where malicious apps can cause integrity violation of planning or execution, availability breakdown, or privacy compromise during execution.",,2026-07-01 10:05:00,2026-07-01 10:05:00
384,WAGT2NFG,conferencePaper,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,T1,Attention is All You Need to Defend Against Indirect Prompt Injection Attacks in LLMs,,Yinan Zhong; Qianhao Miao; Yanjiao Chen; Jiangyi Deng; Yushi Cheng; Wenyuan Xu; Yanjiao Chen,Yinan Zhong,2026,2026-00-00 2026,10.14722/ndss.2026.240394,https://www.ndss-symposium.org/wp-content/uploads/2026-f394-paper.pdf,Proceedings 2026 Network and Distributed System Security Symposium,,Proceedings 2026 Network and Distributed System Security Symposium,Network and Distributed System Security Symposium,,,Internet Society,DOI.org (Crossref),yes,"Large Language Models (LLMs) have been integrated into many applications (e.g., web agents) to perform more sophisticated tasks. However, LLM-empowered applications are vulnerable to Indirect Prompt Injection (IPI) attacks, where instructions are injected via untrustworthy external data sources. This paper presents RENNERVATE, a defense framework to detect and prevent IPI attacks. RENNERVATE leverages attention features to detect the covert injection at a fine-grained token level, enabling preci",,2026-07-01 10:07:41,2026-07-01 10:07:56
385,MYKJW6M4,conferencePaper,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T2,T2,Defending Against Prompt Injection with a Few DefensiveTokens,,Sizhe Chen; Yizhu Wang; Nicholas Carlini; Chawin Sitawarin; David Wagner,Sizhe Chen,2025,2025-07-01 2025/07/01,,https://openreview.net/forum?id=VAJQ8UblUo,ICML 2025 Workshop on Reliable and Responsible Foundation Models,,,ICML 2025 Workshop on Reliable and Responsible Foundation Models,,,,openreview.net,yes,"When large language model (LLM) systems interact with external data to perform complex tasks, a new attack, namely prompt injection, becomes a significant threat. By injecting instructions into the data accessed by the system, the attacker is able to override the initial user task with an arbitrary task directed by the attacker. To secure the system, test-time defenses, e.g., defensive prompting, have been proposed for system developers to attain security only when needed in a flexible manner. H",,2026-07-01 10:12:02,2026-07-01 10:12:02
390,F79ZX3ZB,conferencePaper,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,T1,VIGIL: Defending LLM Agents Against Tool-Stream Injection via Verify-Before-Commit,VIGIL,Junda Lin; Zhaomeng Zhou; Zhi Zheng; Shuochen Liu; Tong Xu; Yong Chen; Enhong Chen; Maria Liakata; Viviane P. Moreira; Jiajun Zhang; David Jurgens,Junda Lin,2026,2026-07-00 2026-07,,https://aclanthology.org/2026.acl-long.443/,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),ACL 2026,,,Association for Computational Linguistics,ACLWeb,yes,"LLM agents operating in open environments face escalating risks from indirect prompt injection, particularly within the tool stream where manipulated metadata and runtime feedback hijack execution flow. Existing defenses encounter a critical dilemma as advanced models prioritize injected rules due to strict alignment while static protection mechanisms sever the feedback loop required for adaptive reasoning. To reconcile this conflict, we propose VIGIL, a framework that shifts the paradigm from r",,2026-07-01 10:21:18,2026-07-01 10:21:22
392,D2UYLRMU,preprint,yes,01 Foundations - LLM Agents and Tool Use,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use || MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use / T3,T3,"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",MRKL Systems,Ehud Karpas; Omri Abend; Yonatan Belinkov; Barak Lenz; Opher Lieber; Nir Ratner; Yoav Shoham; Hofit Bata; Yoav Levine; Kevin Leyton-Brown; Dor Muhlgay; Noam Rozen; Erez Schwartz; Gal Shachaf; Shai Shalev-Shwartz; Amnon Shashua; Moshe Tenenholtz,Ehud Karpas,2022,2022-05-01 2022-05-01,10.48550/arXiv.2205.00445,http://arxiv.org/abs/2205.00445,arXiv,,,,arXiv,arXiv:2205.00445,,arXiv.org,yes,"Huge language models (LMs) have ushered in a new era for AI, serving as a gateway to natural-language-based knowledge tasks. Although an essential element of modern AI, LMs are also inherently limited in a number of ways. We discuss these limitations and how they can be avoided by adopting a systems approach. Conceptualizing the challenge as one that involves knowledge and reasoning in addition to linguistic processing, we define a flexible architecture with multiple neural models, complemented ",arXiv:2205.00445 [cs.CL],2026-05-26 04:44:13,2026-07-01 11:05:49
395,C629Z8JQ,preprint,yes,01 Foundations - LLM Agents and Tool Use,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use || MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use / T3,T3,WebGPT: Browser-assisted question-answering with human feedback,WebGPT,Reiichiro Nakano; Jacob Hilton; Suchir Balaji; Jeff Wu; Long Ouyang; Christina Kim; Christopher Hesse; Shantanu Jain; Vineet Kosaraju; William Saunders; Xu Jiang; Karl Cobbe; Tyna Eloundou; Gretchen Krueger; Kevin Button; Matthew Knight; Benjamin Chess; John Schulman,Reiichiro Nakano,2022,2022-06-01 2022-06-01,10.48550/arXiv.2112.09332,http://arxiv.org/abs/2112.09332,arXiv,,,,arXiv,arXiv:2112.09332,,arXiv.org,yes,"We fine-tune GPT-3 to answer long-form questions using a text-based web-browsing environment, which allows the model to search and navigate the web. By setting up the task so that it can be performed by humans, we are able to train models on the task using imitation learning, and then optimize answer quality with human feedback. To make human evaluation of factual accuracy easier, models must collect references while browsing in support of their answers. We train and evaluate our models on ELI5,",arXiv:2112.09332 [cs.CL],2026-07-01 10:23:01,2026-07-01 11:06:15
399,FS8FXVW9,preprint,yes,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T1,T1,AgentLAB: Benchmarking LLM Agents against Long-Horizon Attacks,AgentLAB,Tanqiu Jiang; Yuhui Wang; Jiacheng Liang; Ting Wang,Tanqiu Jiang,2026,2026-02-18 2026-02-18,10.48550/arXiv.2602.16901,http://arxiv.org/abs/2602.16901,arXiv,,,,arXiv,arXiv:2602.16901,,arXiv.org,yes,"LLM agents are increasingly deployed in long-horizon, complex environments to solve challenging problems, but this expansion exposes them to long-horizon attacks that exploit multi-turn user-agent-environment interactions to achieve objectives infeasible in single-turn settings. To measure agent vulnerabilities to such risks, we present AgentLAB, the first benchmark dedicated to evaluating LLM agent susceptibility to adaptive, long-horizon attacks. Currently, AgentLAB supports five novel attack ",arXiv:2602.16901 [cs.AI],2026-07-01 10:31:28,2026-07-01 10:31:33
402,WH38KM7S,journalArticle,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T2,T2,"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms",Prompt Injection Attacks in Large Language Models and AI Agent Systems,Saidakhror Gulyamov; Said Gulyamov; Andrey Rodionov; Rustam Khursanov; Kambariddin Mekhmonov; Djakhongir Babaev; Akmaljon Rakhimjonov,Saidakhror Gulyamov,2026,2026-01-00 2026/1,10.3390/info17010054,https://www.mdpi.com/2078-2489/17/1/54,Information,Information,,,,,Multidisciplinary Digital Publishing Institute,www.mdpi.com,yes,"Large language models (LLMs) have rapidly transformed artificial intelligence applications across industries, yet their integration into production systems has unveiled critical security vulnerabilities, chief among them prompt injection attacks. This comprehensive review synthesizes research from 2023 to 2025, analyzing 45 key sources, industry security reports, and documented real-world exploits. We examine the taxonomy of prompt injection techniques, including direct jailbreaking and indirect",,2026-07-01 10:55:48,2026-07-01 10:56:04
404,MF89Z72M,conferencePaper,yes,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,T3,MCP safety audit: LLMs with the model context protocol allow major security exploits,MCP safety audit,John T. Halloran; Brandon Radosevich; Gavin Black,John T. Halloran,2026,2026-06-10 2026/06/10,10.1117/12.3097390,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/14046/140460a/mcp-safety-audit--llms-with-the-model-context-protocol/10.1117/12.3097390,Assurance and Security for AI-enabled Systems 2026,,Assurance and Security for AI-enabled Systems 2026,Assurance and Security for AI-enabled Systems 2026,,,SPIE,www.spiedigitallibrary.org,yes,"To reduce development overhead and enable seamless integration between potential components comprising any given generative AI application, the Model Context Protocol (MCP) mcp:anthropic has recently",,2026-07-01 10:58:46,2026-07-01 10:58:51
