zotero_item_id,zotero_key,zotero_item_type,is_likely_paper,zotero_topic_collection,zotero_collection_paths,zotero_tier_collection,title,short_title,authors,first_author,year,date,doi,url,venue,publication_title,proceedings_title,conference_name,repository,archive_id,publisher,library_catalog,has_abstract,abstract_snippet,extra,date_added,date_modified
3,U3S2Z98J,preprint,yes,08 Surveys and SoK Papers,MSc Thesis - Tool-Output Injection / 08 Surveys and SoK Papers || MSc Thesis - Tool-Output Injection / 08 Surveys and SoK Papers / T3,T3,The Landscape of Prompt Injection Threats in LLM Agents: From Taxonomy to Analysis,The Landscape of Prompt Injection Threats in LLM Agents,Peiran Wang; Xinfeng Li; Chong Xiang; Jinghuai Zhang; Ying Li; Lixia Zhang; Xiaofeng Wang; Yuan Tian,Peiran Wang,2026,2026-02-11 2026-02-11,10.48550/arXiv.2602.10453,http://arxiv.org/abs/2602.10453,arXiv,,,,arXiv,arXiv:2602.10453,,arXiv.org,yes,"The evolution of Large Language Models (LLMs) has resulted in a paradigm shift towards autonomous agents, necessitating robust security against Prompt Injection (PI) vulnerabilities where untrusted inputs hijack agent behaviors. This SoK presents a comprehensive overview of the PI landscape, covering attacks, defenses, and their evaluation practices. Through a systematic literature review and quantitative analysis, we establish taxonomies that categorize PI attacks by payload generation strategi",arXiv:2602.10453 [cs],2026-04-30 11:33:09,2026-05-13 04:08:15
16,Y9FIC86A,conferencePaper,yes,01 Foundations - LLM Agents and Tool Use,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use || MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use / T1 || MSc Thesis - Tool-Output Injection / 10 To Verify,T1,Toolformer: Language Models Can Teach Themselves to Use Tools,Toolformer,Timo Schick; Jane Dwivedi-Yu; Roberto Dessi; Roberta Raileanu; Maria Lomeli; Eric Hambro; Luke Zettlemoyer; Nicola Cancedda; Thomas Scialom,Timo Schick,2023,2023-11-02 2023/11/02,,https://neurips.cc/virtual/2023/poster/71288,Thirty-seventh Conference on Neural Information Processing Systems,,,Thirty-seventh Conference on Neural Information Processing Systems,,,,openreview.net,yes,"Language models (LMs) exhibit remarkable abilities to solve new tasks from just a few examples or textual instructions, especially at scale. They also, paradoxically, struggle with basic functionality, such as arithmetic or factual lookup, where much simpler and smaller specialized models excel. In this paper, we show that LMs can teach themselves to *use external tools* via simple APIs and achieve the best of both worlds. We introduce *Toolformer*, a model trained to decide which APIs to call, ",,2026-05-12 03:37:06,2026-05-26 04:35:16
18,UBYMAY8X,conferencePaper,yes,03 Agent Security Benchmarks,MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks || MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks / T2 || MSc Thesis - Tool-Output Injection / 10 To Verify,T2,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,InjecAgent,Qiusi Zhan; Zhixiang Liang; Zifan Ying; Daniel Kang; Lun-Wei Ku; Andre Martins; Vivek Srikumar,Qiusi Zhan,2024,2024-08-00 2024-08,10.18653/v1/2024.findings-acl.624,https://aclanthology.org/2024.findings-acl.624/,Findings of the Association for Computational Linguistics: ACL 2024,,Findings of the Association for Computational Linguistics: ACL 2024,Findings 2024,,,Association for Computational Linguistics,ACLWeb,yes,"Recent work has embodied LLMs as agents, allowing them to access tools, perform actions, and interact with external content (e.g., emails or websites). However, external content introduces the risk of indirect prompt injection (IPI) attacks, where malicious instructions are embedded within the content processed by LLMs, aiming to manipulate these agents into executing detrimental actions against users. Given the potentially severe consequences of such attacks, establishing benchmarks to assess a",,2026-05-11 03:07:07,2026-07-01 08:53:25
20,6VDYULVW,conferencePaper,yes,03 Agent Security Benchmarks,MSc Thesis - Tool-Output Injection || MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks || MSc Thesis - Tool-Output Injection / 03 Agent Security Benchmarks / T1,T1,AgentDojo: a dynamic environment to evaluate prompt injection attacks and defenses for LLM agents,AgentDojo,Edoardo Debenedetti; Jie Zhang; Mislav Balunovic; Luca Beurer-Kellner; Marc Fischer; Florian Tramèr,Edoardo Debenedetti,2024,"2024-12-10 December 10, 2024",,,Proceedings of the 38th International Conference on Neural Information Processing Systems,,Proceedings of the 38th International Conference on Neural Information Processing Systems,,,,Curran Associates Inc.,ACM Digital Library,yes,"AI agents aim to solve complex tasks by combining text-based reasoning with external tool calls. Unfortunately, AI agents are vulnerable to prompt injection attacks where data returned by external tools hijacks the agent to execute malicious tasks. To measure the adversarial robustness of AI agents, we introduce AgentDojo, an evaluation framework for agents that execute tools over untrusted data. To capture the evolving nature of attacks and defenses, AgentDojo is not a static test suite, but ra",,2026-05-11 03:26:40,2026-07-01 08:53:58
21,DTTZMEMY,journalArticle,yes,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,T3,Clawed and Dangerous: Can We Trust Open Agentic Systems?,,Shiping Chen; Qin Wang; Guangsheng Yu; Xu Wang; Liming Zhu,Shiping Chen,2026,2026-00-00 2026,10.48550/arXiv.2603.26221,https://arxiv.org/abs/2603.26221,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:47,2026-05-14 03:49:47
22,YNQJ8ZEK,journalArticle,yes,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,T3,Deep Research Brings Deeper Harm,,Shuo Chen; Zonggen Li; Zhen Han; Bailan He; Tong Liu; Haokun Chen; Georg Groh; Philip Torr; Volker Tresp; Jindong Gu,Shuo Chen,2025,2025-00-00 2025,10.48550/arXiv.2510.11851,https://arxiv.org/abs/2510.11851,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
27,SBEBWL9I,journalArticle,yes,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,T3,MCPGuard: Automatically Detecting Vulnerabilities in MCP Servers,,Bin Wang; Zexin Liu; Hao Yu; others,Bin Wang,2025,2025-00-00 2025,10.48550/arXiv.2510.23673,https://arxiv.org/abs/2510.23673,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
28,JSUEKJ7I,journalArticle,yes,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,T3,MCPSecBench: A Systematic Security Benchmark and Playground for Testing Model Context Protocols,,Yixuan Yang; Daoyuan Wu; Yufan Chen,Yixuan Yang,2025,2025-00-00 2025,10.48550/arXiv.2508.13220,https://arxiv.org/abs/2508.13220,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
30,DTQF7NL9,journalArticle,yes,02 Prompt Injection - Core,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core / T1 || MSc Thesis - Tool-Output Injection / 10 To Verify,T1,ObliInjection: Order-Oblivious Prompt Injection Attack to LLM Agents with Multi-source Data,,Reachal Wang; Yuqi Jia; Neil Zhenqiang Gong,Reachal Wang,2025,2025-00-00 2025,10.48550/arXiv.2512.09321,https://www.ndss-symposium.org/ndss-paper/obliinjection-order-oblivious-prompt-injection-attack-to-llm-agents-with-multi-source-data/,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
32,IQPU5RCM,journalArticle,yes,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,T3,CausalArmor: Efficient Indirect Prompt Injection Guardrails via Causal Attribution,,Minbeom Kim; Mihir Parmar; Phillip Wallis; others,Minbeom Kim,2026,2026-00-00 2026,10.48550/arXiv.2602.07918,https://arxiv.org/abs/2602.07918,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
33,FTQ5VZVM,journalArticle,yes,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,T3,AttriGuard: Defeating Indirect Prompt Injection in LLM Agents via Causal Attribution of Tool Invocations,,Yu He; Haozhe Zhu; Yiming Li; others,Yu He,2026,2026-00-00 2026,10.48550/arXiv.2603.10749,https://arxiv.org/abs/2603.10749,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
34,72G39ZQF,preprint,yes,07 Long-Horizon and Memory Risks,MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks || MSc Thesis - Tool-Output Injection / 07 Long-Horizon and Memory Risks / T3,T3,Architecting Secure AI Agents: Perspectives on System-Level Defenses Against Indirect Prompt Injection Attacks,,Chong Xiang; Drew Zagieboylo; Shaona Ghosh; others,Chong Xiang,2026,2026-00-00 2026,10.48550/arXiv.2603.30016,https://doi.org/10.48550/arXiv.2603.30016,arXiv,,,,arXiv,,,,no,,,2026-05-14 03:49:46,2026-07-01 10:32:32
37,HKSBD6XX,journalArticle,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T3,T3,Defending Against Prompt Injection with DataFilter,,Yizhu Wang; Sizhe Chen; Raghad Alkhudair; others,Yizhu Wang,2025,2025-00-00 2025,10.48550/arXiv.2510.19207,https://arxiv.org/pdf/2510.19207,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
38,KH7WK27R,journalArticle,yes,02 Prompt Injection - Core,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core,,"Indirect Prompt Injections: Are Firewalls All You Need, or Stronger Benchmarks?",,Rishika Bhagwatkar; Kevin Kasa; Abhay Puri; others,Rishika Bhagwatkar,2025,2025-00-00 2025,10.48550/arXiv.2510.05244,https://arxiv.org/pdf/2510.05244,arXiv,,,,,,arXiv,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
47,RPSPBMVF,conferencePaper,yes,02 Prompt Injection - Core,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core / T2,T2,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,,Kai Greshake; Sahar Abdelnabi; Shailesh Mishra; others,Kai Greshake,2023,2023-00-00 2023,10.1145/3605764.3623985,https://doi.org/10.1145/3605764.3623985,Proceedings of the 16th ACM Workshop on Artificial Intelligence and Security,,Proceedings of the 16th ACM Workshop on Artificial Intelligence and Security,,,,ACM,,no,,,2026-05-14 03:49:46,2026-05-14 03:49:46
51,7T8N7IJZ,conferencePaper,yes,01 Foundations - LLM Agents and Tool Use,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use || MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use / T1,T1,ReAct: Synergizing Reasoning and Acting in Language Models,ReAct,Shunyu Yao; Jeffrey Zhao; Dian Yu; Nan Du; Izhak Shafran; Karthik R. Narasimhan; Yuan Cao,Shunyu Yao,2022,2022-09-29 2022/09/29,,https://openreview.net/forum?id=WE_vluYUL-X,The Eleventh International Conference on Learning Representations,,,The Eleventh International Conference on Learning Representations,,,,openreview.net,yes,"While large language models (LLMs) have demonstrated impressive capabilities across tasks in language understanding and interactive decision making, their abilities for reasoning (e.g. chain-of-thought prompting) and acting (e.g. action plan generation) have primarily been studied as separate topics. In this paper, we explore the use of LLMs to generate both reasoning traces and task-specific actions in an interleaved manner, allowing for greater synergy between the two: reasoning traces help th",,2026-05-12 04:16:11,2026-07-01 08:51:56
52,WFEX74YG,conferencePaper,yes,01 Foundations - LLM Agents and Tool Use,MSc Thesis - Tool-Output Injection / 01 Foundations - LLM Agents and Tool Use,,MCP-Bench: Benchmarking Tool-Using LLM Agents with Complex Real-World Tasks via MCP Servers,MCP-Bench,Zhenting Wang; Qi Chang; Hemani Patel; Shashank Biju; Cheng-En Wu; Quan Liu; Aolin Ding; Alireza Rezazadeh; Ankit Shah; Yujia Bao; Eugene Siow,Zhenting Wang,2025,2025-10-08 2025/10/08,,https://openreview.net/forum?id=fe8mzHwMxN,The Fourteenth International Conference on Learning Representations,,,The Fourteenth International Conference on Learning Representations,,,,openreview.net,yes,"We introduce MCP-Bench, a benchmark for evaluating large language models (LLMs) on realistic, multi-step tasks that demand tool use, cross-tool coordination, precise parameter control, and planning/reasoning for solving tasks. Built on the Model Context Protocol (MCP), MCP-Bench connects LLMs to 28 representative live MCP servers spanning 250 tools across domains such as finance, traveling, scientific computing, and academic search. Unlike prior API-based benchmarks, each MCP server provides a s",,2026-05-11 04:59:20,2026-05-13 04:27:13
53,A8YYQAD6,journalArticle,yes,02 Prompt Injection - Core,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core,,From prompt injections to protocol exploits: Threats in LLM-powered AI agents workflows,From prompt injections to protocol exploits,Mohamed Amine Ferrag; Norbert Tihanyi; Djallel Hamouda; Leandros Maglaras; Abderrahmane Lakas; Merouane Debbah,Mohamed Amine Ferrag,2026,2026-04-01 2026-04-01,10.1016/j.icte.2025.12.001,https://www.sciencedirect.com/science/article/pii/S2405959525001997,ICT Express,ICT Express,,,,,,ScienceDirect,yes,"Autonomous AI agents powered by large language models (LLMs) with structured function-calling interfaces have greatly expanded capabilities for real-time data retrieval, computation, and multi-step orchestration. However, the rapid growth of plugins, connectors, and inter-agent protocols has outpaced security practices, leading to brittle integrations — plugin APIs and protocol adapters that rely on ad-hoc authentication, inconsistent schemas, and weak validation — making them vulnerable to fail",,2026-05-11 03:21:52,2026-05-13 04:25:33
54,L6F6YM4P,journalArticle,yes,02 Prompt Injection - Core,MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core || MSc Thesis - Tool-Output Injection / 02 Prompt Injection - Core / T3,T3,"Prompt Injection Attacks on Agentic Coding Assistants: A Systematic Analysis of Vulnerabilities in Skills, Tools, and Protocol Ecosystems",Prompt Injection Attacks on Agentic Coding Assistants,Narek Maloyan; Dmitry Namiot,Narek Maloyan,2025,2025-03-24 2025-03-24,10.48550/arXiv.2601.17548,http://arxiv.org/abs/2601.17548,arXiv,,,,,,arXiv,arXiv.org,yes,"The proliferation of agentic AI coding assistants, including Claude Code, GitHub Copilot, Cursor, and emerging skill-based architectures, has fundamentally transformed software development workflows. These systems leverage Large Language Models (LLMs) integrated with external tools, file systems, and shell access through protocols like the Model Context Protocol (MCP). However, this expanded capability surface introduces critical security vulnerabilities. In this \textbf{Systematization of Knowl",arXiv:2601.17548 [cs],2026-05-11 03:12:57,2026-05-15 11:10:07
57,XWI8T4ZP,journalArticle,yes,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security,,Model Context Protocol Threat Modeling and Analysis of Vulnerabilities to Prompt Injection with Tool Poisoning,,Charoes Huang; Xin Huang; Ngoc Phu Tran; Amin Milani Fard,Charoes Huang,2026,2026-06-00 2026/6,10.3390/jcp6030084,https://www.mdpi.com/2624-800X/6/3/84,Journal of Cybersecurity and Privacy,Journal of Cybersecurity and Privacy,,,,,Multidisciplinary Digital Publishing Institute,www.mdpi.com,yes,"The Model Context Protocol (MCP) has rapidly emerged as a universal standard for connecting AI assistants to external tools and data sources. While the MCP simplifies integration between AI applications and various services, it introduces significant security vulnerabilities, particularly on the client side. In this work, we conduct threat modelings of MCP implementations using STRIDE (Spoofing, Tampering, Repudiation, Information Disclosure, Denial of Service, Elevation of Privilege) and DREAD ",,2026-05-12 04:04:08,2026-05-13 04:08:15
58,6YA4IXBK,conferencePaper,yes,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security || MSc Thesis - Tool-Output Injection / 04 MCP Security / T1,T1,MCP Security Bench (MSB): Benchmarking Attacks Against Model Context Protocol in LLM Agents,MCP Security Bench (MSB),Dongsen Zhang; Zekun Li; Xu Luo; Xuannan Liu; Pei Pei Li; Wenjun Xu,Dongsen Zhang,2025,2025-10-08 2025/10/08,,https://openreview.net/forum?id=irxxkFMrry,The Fourteenth International Conference on Learning Representations,,,The Fourteenth International Conference on Learning Representations,,,,openreview.net,yes,"The Model Context Protocol (MCP) standardizes how large language model (LLM) agents discover, describe, and call external tools. While MCP unlocks broad interoperability, it also enlarges the attack surface by making tools first-class, composable objects with natural-language metadata, and standardized I/O. We present MSB (MCP Security Benchmark), the first end-to-end evaluation suite that systematically measures how well LLM agents resist MCP-specific attacks throughout the full tool-use pipeli",,2026-05-12 04:03:43,2026-05-13 04:08:15
59,XPJXZV4L,conferencePaper,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails || MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,T1,StruQ: Defending Against Prompt Injection with Structured Queries,StruQ,Sizhe Chen; Julien Piet; Chawin Sitawarin; David Wagner,Sizhe Chen,2025,2025-00-00 2025,,https://www.usenix.org/conference/usenixsecurity25/presentation/chen-sizhe,34th USENIX Security Symposium (USENIX Security 25),,,34th USENIX Security Symposium (USENIX Security 25),,,,www.usenix.org,no,,,2026-05-12 03:55:24,2026-05-13 04:08:15
60,FC28CLID,journalArticle,yes,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security || MSc Thesis - Tool-Output Injection / 04 MCP Security / T1,T1,"Model Context Protocol (MCP): Landscape, Security Threats, and Future Research Directions",Model Context Protocol (MCP),Xinyi Hou; Yanjie Zhao; Shenao Wang; Haoyu Wang,Xinyi Hou,2026,"2026-02-16 February 16, 2026",10.1145/3796519,https://dl.acm.org/doi/10.1145/3796519,ACM Trans. Softw. Eng. Methodol.,ACM Trans. Softw. Eng. Methodol.,,,,,,ACM Digital Library,yes,"The Model Context Protocol (MCP) is an emerging open standard that defines a unified, bi-directional communication and dynamic discovery protocol between AI models and external tools or resources, aiming to enhance interoperability and reduce fragmentation across diverse systems. This paper conducts a systematic study of MCP from both architectural and security perspectives. We first define the full lifecycle of an MCP server, comprising four phases (creation, deployment, operation, and maintena",Just Accepted,2026-05-11 03:10:01,2026-05-13 04:08:15
84,WQKSX6CH,conferencePaper,yes,,,,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,,Edoardo Debenedetti; Jie Zhang; Mislav Balunovic; Luca Beurer-Kellner; Marc Fischer; Florian Tramèr; A. Globerson; L. Mackey; D. Belgrave; A. Fan; U. Paquet; J. Tomczak; C. Zhang,Edoardo Debenedetti,2024,2024-00-00 2024,10.52202/079017-2636,https://proceedings.neurips.cc/paper_files/paper/2024/file/97091a5177d8dc64b1da8bf3e1f6fb54-Paper-Datasets_and_Benchmarks_Track.pdf,Advances in Neural Information Processing Systems,,Advances in Neural Information Processing Systems,,,,"Curran Associates, Inc.",,no,,,2026-05-15 05:32:21,2026-05-15 05:32:21
87,VCNND6BN,conferencePaper,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T2,T2,Defending against Indirect Prompt Injection by Instruction Detection,,Tongyu Wen; Chenglong Wang; Xiyuan Yang; Haoyu Tang; Yueqi Xie; Lingjuan Lyu; Zhicheng Dou; Fangzhao Wu; Christos Christodoulopoulos; Tanmoy Chakraborty; Carolyn Rose; Violet Peng,Tongyu Wen,2025,2025-11-00 2025-11,10.18653/v1/2025.findings-emnlp.1060,https://aclanthology.org/2025.findings-emnlp.1060/,Findings of the Association for Computational Linguistics: EMNLP 2025,,Findings of the Association for Computational Linguistics: EMNLP 2025,Findings 2025,,,Association for Computational Linguistics,ACLWeb,yes,"The integration of Large Language Models (LLMs) with external sources is becoming increasingly common, with Retrieval-Augmented Generation (RAG) being a prominent example. However, this integration introduces vulnerabilities of Indirect Prompt Injection (IPI) attacks, where hidden instructions embedded in external data can manipulate LLMs into executing unintended or harmful actions. We recognize that IPI attacks fundamentally rely on the presence of instructions embedded within external content",,2026-05-27 04:56:24,2026-05-27 04:56:24
88,M2KVIGTA,conferencePaper,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,T1,MELON: Provable Defense Against Indirect Prompt Injection Attacks in AI Agents,MELON,Kaijie Zhu; Xianjun Yang; Jindong Wang; Wenbo Guo; William Yang Wang,Kaijie Zhu,2025,2025-06-18 2025/06/18,,https://openreview.net/forum?id=gt1MmGaKdZ,Forty-second International Conference on Machine Learning,,,Forty-second International Conference on Machine Learning,,,,openreview.net,yes,"Recent research has explored that LLM agents are vulnerable to indirect prompt injection (IPI) attacks, where malicious tasks embedded in tool-retrieved information can redirect the agent to take unauthorized actions. Existing defenses against IPI have significant limitations: either require essential model training resources, lack effectiveness against sophisticated attacks, or harm the normal utilities. We present MELON (Masked re-Execution and TooL comparisON), a novel IPI defense. Our approa",,2026-05-27 04:55:39,2026-05-27 04:55:39
89,F2Z4UQN8,preprint,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T3,T3,Defeating Prompt Injections by Design,,Edoardo Debenedetti; Ilia Shumailov; Tianqi Fan; Jamie Hayes; Nicholas Carlini; Daniel Fabian; Christoph Kern; Chongyang Shi; Andreas Terzis; Florian Tramèr,Edoardo Debenedetti,2025,2025-06-24 2025-06-24,10.48550/arXiv.2503.18813,http://arxiv.org/abs/2503.18813,arXiv,,,,arXiv,arXiv:2503.18813,,arXiv.org,yes,"Large Language Models (LLMs) are increasingly deployed in agentic systems that interact with an untrusted environment. However, LLM agents are vulnerable to prompt injection attacks when handling untrusted data. In this paper we propose CaMeL, a robust defense that creates a protective system layer around the LLM, securing it even when underlying models are susceptible to attacks. To operate, CaMeL explicitly extracts the control and data flows from the (trusted) query; therefore, the untrusted ",arXiv:2503.18813 [cs.CR],2026-05-27 04:54:56,2026-05-27 04:54:56
90,FCNZA3HV,preprint,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T3,T3,Meta SecAlign: A Secure Foundation LLM Against Prompt Injection Attacks,Meta SecAlign,Sizhe Chen; Arman Zharmagambetov; David Wagner; Chuan Guo,Sizhe Chen,2026,2026-02-06 2026-02-06,10.48550/arXiv.2507.02735,http://arxiv.org/abs/2507.02735,arXiv,,,,arXiv,arXiv:2507.02735,,arXiv.org,yes,"Prompt injection attacks, where untrusted data contains an injected prompt to manipulate the system, have been listed as the top security threat to LLM-integrated applications. Model-level prompt injection defenses have shown strong effectiveness, but the strongest defenses are proprietary. Open-source secure models are needed by the AI security community so that co-development of attacks and defenses through open research can drive scientific progress in mitigating prompt injection attacks. To ",arXiv:2507.02735 [cs.CR],2026-05-27 04:54:25,2026-07-01 11:05:31
91,RQZHUZ2E,conferencePaper,yes,06 Defences and Guardrails,MSc Thesis - Tool-Output Injection / 06 Defences and Guardrails / T1,T1,SecAlign: Defending Against Prompt Injection with Preference Optimization,SecAlign,Sizhe Chen; Arman Zharmagambetov; Saeed Mahloujifar; Kamalika Chaudhuri; David Wagner; Chuan Guo,Sizhe Chen,2025,"2025-11-22 November 22, 2025",10.1145/3719027.3744836,https://dl.acm.org/doi/10.1145/3719027.3744836,Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,,Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,,,,Association for Computing Machinery,ACM Digital Library,yes,"Large language models (LLMs) are becoming increasingly prevalent in modern software systems, interfacing between the user and the Internet to assist with tasks that require advanced language understanding. To accomplish these tasks, the LLM often uses external data sources such as user documents, web retrieval, results from API calls, etc. This opens up new avenues for attackers to manipulate the LLM via prompt injection. Adversarial prompts can be injected into external data sources to override",,2026-05-27 04:53:50,2026-05-27 04:53:50
92,NNNY6JGT,conferencePaper,yes,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security / T1,T1,MCIP: Protecting MCP Safety via Model Contextual Integrity Protocol,MCIP,Huihao Jing; Haoran Li; Wenbin Hu; Qi Hu; Xu Heli; Tianshu Chu; Peizhao Hu; Yangqiu Song; Christos Christodoulopoulos; Tanmoy Chakraborty; Carolyn Rose; Violet Peng,Huihao Jing,2025,2025-11-00 2025-11,10.18653/v1/2025.emnlp-main.62,https://aclanthology.org/2025.emnlp-main.62/,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,EMNLP 2025,,,Association for Computational Linguistics,ACLWeb,yes,"As Model Context Protocol (MCP) introduces an easy-to-use ecosystem for users and developers, it also brings underexplored safety risks. Its decentralized architecture, which separates clients and servers, poses unique challenges for systematic safety analysis. This paper proposes a novel framework to enhance MCP safety. Guided by the MAESTRO framework, we first analyze the missing safety mechanisms in MCP, and based on this analysis, we propose the Model Contextual Integrity Protocol (MCIP), a ",,2026-05-27 04:49:25,2026-05-27 04:49:25
95,WBVWFGY8,preprint,yes,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,T3,A First Measurement Study on Authentication Security in Real-World Remote MCP Servers,,Huijun Zhou; Xiaohan Zhang; Haozhe Zhang; Haoyang Zhang; Mi Zhang; Min Yang,Huijun Zhou,2026,2026-05-21 2026-05-21,10.48550/arXiv.2605.22333,http://arxiv.org/abs/2605.22333,arXiv,,,,arXiv,arXiv:2605.22333,,arXiv.org,yes,"The Model Context Protocol (MCP) is emerging as a common interface connecting large language models (LLMs) with external services. Remote deployments are becoming increasingly important as agents connect to user-linked online services, such as social, productivity, and financial services. In such deployments, the authentication boundary between MCP clients and remote servers becomes security-critical, yet remains underexplored. We present the first measurement study of authentication security in",arXiv:2605.22333 [cs.CR],2026-05-27 04:46:38,2026-05-27 04:46:38
96,UMIR8WCK,preprint,yes,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,T3,MCP-ITP: An Automated Framework for Implicit Tool Poisoning in MCP,MCP-ITP,Ruiqi Li; Zhiqiang Wang; Yunhao Yao; Xiang-Yang Li,Ruiqi Li,2026,2026-01-12 2026-01-12,10.48550/arXiv.2601.07395,http://arxiv.org/abs/2601.07395,arXiv,,,,arXiv,arXiv:2601.07395,,arXiv.org,yes,"To standardize interactions between LLM-based agents and their environments, the Model Context Protocol (MCP) was proposed and has since been widely adopted. However, integrating external tools expands the attack surface, exposing agents to tool poisoning attacks. In such attacks, malicious instructions embedded in tool metadata are injected into the agent context during MCP registration phase, thereby manipulating agent behavior. Prior work primarily focuses on explicit tool poisoning or relied",arXiv:2601.07395 [cs.CR],2026-05-27 04:46:12,2026-05-27 04:46:12
97,Q86FN9Y6,preprint,yes,04 MCP Security,MSc Thesis - Tool-Output Injection / 04 MCP Security / T3,T3,Semantic Attacks on Tool-Augmented LLMs: Securing the Model Context Protocol Against Descriptor-Level Manipulation,Semantic Attacks on Tool-Augmented LLMs,Saeid Jamshidi; Arghavan Moradi Dakhel; Kawser Wazed Nafi; Foutse Khomh,Saeid Jamshidi,2026,2026-05-21 2026-05-21,10.48550/arXiv.2512.06556,http://arxiv.org/abs/2512.06556,arXiv,,,,arXiv,arXiv:2512.06556,,arXiv.org,yes,"The Model Context Protocol (MCP) enables Large Language Models (LLMs) to interact with external tools via tool descriptors, thereby extending their capabilities for task execution, autonomous decision-making, and multi-agent coordination. Existing MCP deployments treat tool descriptors as trusted metadata, despite their direct integration into the LLM reasoning context. This introduces a previously underexplored semantic attack surface. Current defenses primarily target prompt injection, neglect",arXiv:2512.06556 [cs.CR],2026-05-27 04:45:14,2026-05-27 04:45:14
